Time,Mach,Alpha_D,Altitude,Latitude,Longitude
79.0167,1.528747278,1.837392459,50494.03717,33.04416032,-97.36793326
80.0167,1.528354814,0.8374005792,50540.95593,33.04478433,-97.37264588
81.0167,1.528228458,0.8316673212,50583.677,33.04540934,-97.37735841
82.0167,1.528106089,1.306796677,50620.7617,33.04603531,-97.38207105
83.0167,1.527967207,1.692178616,50655.17082,33.04666228,-97.38678358
84.0167,1.527837325,1.779788418,50689.95042,33.04729029,-97.39149579
85.0167,1.527755206,1.67190839,50726.146,33.04791934,-97.39620771
86.0167,1.527734141,1.551362346,50763.16289,33.04854943,-97.40091951
87.0167,1.527761937,1.511409769,50800.04793,33.04918058,-97.40563143
88.1833,1.527812803,1.535551629,50832.14279,33.049739,-97.40979385
89.0167,1.527690371,1.607416539,50873.87007,33.05044604,-97.41505569
90.0167,1.527809228,1.21868643,50910.68672,33.05108041,-97.41976804
91.0167,1.527905181,1.57248777,50945.41117,33.05171582,-97.42448082
92.0167,1.527979198,1.747250439,50979.22963,33.05235244,-97.42919402
93.0167,1.528037372,1.756603032,51013.77659,33.0529902,-97.43390749
94.0167,1.52808929,1.669996063,51049.26644,33.05362919,-97.43862115
95.0167,1.528155837,1.604668547,51085.15417,33.05426945,-97.44333503
96.0167,1.528239913,1.564740299,51120.81622,33.05491097,-97.44804921
97.0167,1.528380169,1.344019642,51155.22006,33.05555381,-97.45276394
98.0167,1.52859923,1.144324232,51186.83713,33.05619799,-97.4574795
99.0167,1.528871814,1.117418755,51214.1926,33.05684354,-97.46219614
100.017,1.529164604,1.220829758,51236.89602,33.0574905,-97.46691394
101.017,1.529453015,1.356849885,51255.61659,33.05813893,-97.47163286
102.017,1.52972767,1.455699994,51271.39725,33.05878888,-97.47635279
103.017,1.529988966,1.503161316,51285.08739,33.05944041,-97.48107364
104.017,1.53023937,1.519455859,51297.15669,33.06009354,-97.48579534
105.017,1.530478735,1.528616317,51307.80043,33.06074829,-97.49051784
106.017,1.530704812,1.543044487,51317.11943,33.06140469,-97.49524108
107.017,1.530914742,1.563784286,51325.23563,33.06206276,-97.49996501
108.017,1.531106733,1.585092417,51332.31345,33.06272252,-97.50468956
109.017,1.531280272,1.60260356,51338.52723,33.063384,-97.50941465
110.017,1.531435675,1.613947277,51344.02952,33.0640472,-97.51414023
111.017,1.531574073,1.622903544,51348.92698,33.06471216,-97.51886623
112.017,1.531695694,1.630791832,51353.29132,33.06537886,-97.5235926
113.017,1.531801125,1.637690381,51357.18879,33.06604732,-97.52831928
114.017,1.531891163,1.643951492,51360.68018,33.06671754,-97.53304621
115.017,1.531966894,1.64839155,51363.81354,33.06738951,-97.53777336
116.017,1.532029294,1.653445802,51366.63011,33.06806324,-97.54250067
117.017,1.532079373,1.657696685,51369.16888,33.06873875,-97.5472281
118.017,1.532118069,1.661074894,51371.46494,33.06941603,-97.55195561
119.017,1.53214629,1.663914669,51373.54645,33.07009509,-97.55668316
120.017,1.532164917,1.666390778,51375.43633,33.07077592,-97.56141073
121.017,1.532174855,1.668615531,51377.15449,33.07145852,-97.56613828
122.017,1.532177033,1.670615733,51378.71864,33.07214287,-97.57086579
123.017,1.532172387,1.672418492,51380.14453,33.07282897,-97.57559325
124.017,1.532161821,1.673977642,51381.44631,33.07351681,-97.58032062
125.017,1.532146151,1.675403,51382.63622,33.07420641,-97.5850479
126.017,1.532126085,1.676689931,51383.72482,33.07489775,-97.58977506
127.017,1.532166742,0.8821941858,51383.06754,33.07559082,-97.59450236
128.017,1.532469203,0.2533516551,51375.80034,33.07628545,-97.59923014
129.017,1.532782373,0.9391653276,51358.77931,33.07698141,-97.60395851
130.017,1.532951327,1.764986864,51335.30839,33.077679,-97.60868724
131.017,1.5329732,2.10992951,51311.392,33.07837843,-97.6134162
132.017,1.532941377,1.998267719,51290.29516,33.07907982,-97.6181453
133.017,1.532924678,1.742356372,51271.82838,33.07978314,-97.6228744
134.017,1.532931362,1.584387538,51254.28672,33.0804883,-97.62760344
135,1.532939686,1.572145857,51236.67172,33.08118341,-97.6322536
136,1.532930393,1.63371843,51218.11968,33.08189201,-97.63698247
137,1.532897576,1.686653117,51199.30192,33.08260234,-97.64171122
138,1.532847737,1.698003409,51180.64882,33.08331442,-97.6464398
139,1.532789819,1.679549556,51162.3228,33.08402822,-97.65116818
140,1.532728963,1.656676423,51144.24621,33.08474374,-97.65589634
141,1.5326659,1.644396814,51126.27252,33.08546095,-97.66062426
142,1.532599716,1.642889585,51108.31418,33.08617983,-97.66535195
143,1.532530068,1.645240968,51090.36359,33.08690035,-97.67007938
144,1.532457513,1.645432346,51072.45356,33.0876225,-97.67480657
145,1.5323838,1.641934888,51054.61031,33.08834626,-97.67953351
146,1.532310262,1.636960148,51036.8328,33.08907163,-97.68426021
147,1.532237936,1.63312262,51019.10276,33.0897986,-97.68898665
148,1.532166491,1.629782605,51001.40799,33.09052715,-97.69371285
149,1.532096802,1.626350778,50983.7473,33.09125729,-97.69843882
150,1.53202906,1.623329772,50966.11533,33.09198899,-97.70316457
151,1.531963522,1.620557912,50948.50868,33.09272224,-97.70789009
152,1.531900393,1.61765982,50930.92619,33.09345703,-97.71261542
153,1.531840058,1.614598295,50913.3671,33.09419334,-97.71734054
154,1.53178274,1.61154101,50895.82895,33.09493119,-97.72206549
155,1.531728632,1.60864631,50878.30873,33.09567055,-97.72679027
156,1.53167771,1.605739488,50860.80454,33.09641143,-97.73151488
157,1.531630017,1.602795346,50843.31543,33.09715382,-97.73623934
158,1.531585479,1.599895586,50825.8397,33.09789773,-97.74096366
159,1.531544108,1.597362936,50808.37457,33.09864314,-97.74568786
160,1.531505529,1.594535799,50790.92007,33.09939004,-97.75041194
161,1.531470089,1.591500899,50773.47758,33.10013844,-97.75513591
162,1.53143759,1.588571418,50756.04446,33.10088832,-97.7598598
163,1.531408072,1.584958335,50738.61657,33.10163969,-97.76458359
164,1.531381149,1.583433811,50721.19777,33.10239254,-97.76930732
165,1.531356953,1.580196294,50703.78689,33.10314689,-97.77403097
166,1.531335349,1.577131682,50686.38364,33.10390274,-97.77875457
167,1.531316118,1.574414416,50668.98483,33.10466007,-97.78347811
168,1.531298954,1.571742349,50651.58979,33.1054189,-97.78820161
169,1.531283783,1.568984129,50634.1995,33.10617921,-97.79292507
170,1.531271656,1.564591102,50616.79976,33.10694102,-97.7976485
171,1.531260126,1.570690013,50599.39436,33.1077043,-97.80237192
